,postalCode,zhvi
0,89108,227500
1,89121,228200
2,89117,333600
3,89123,300100
4,89110,218000
5,89148,310700
6,89103,186700
7,89147,279000
8,89129,297400
9,89122,229500
10,89131,348500
11,89128,258000
12,89149,300600
13,89104,227700
14,89139,302300
15,89102,243900
16,89178,309700
17,89113,286100
18,89183,275900
19,89135,429800
20,89107,223200
21,89130,285600
22,89134,338500
23,89141,331400
24,89142,226700
25,89145,258800
26,89120,270800
27,89156,225100
28,89169,193200
29,89166,297700
30,89118,214700
31,89144,339900
32,89146,258800
33,89138,440800
34,89109,334400
35,89143,294700
36,89179,322800
37,89158,468400
