business_id,city,postalCode,stars,price
gbQN7vr_caG_A1ugSmGhWg,Las Vegas,89121,3.5,3
PZ-LZzSlhSe9utkQYU8pFg,Las Vegas,89119,4,2
KWywu2tTEPWmR9JnBc0WyQ,Las Vegas,89118,4,2
BsMdebN4nZySpGTfXr-7yg,Las Vegas,89149,5,2
tstimHoMcYbkSC4eBA1wEg,Las Vegas,89156,4.5,1
LB6ZyCfUzeX9OLdunHhnOQ,Las Vegas,89117,3.5,1
NBn4hgfGtNz91k3VsDZlmw,Las Vegas,89115,5,1
kANF0dbeoW34s2vwh6Umfw,Las Vegas,89146,2,1
gas3YSrKkEcBliUHhnOLTg,Las Vegas,89109,3.5,4
Cat1JuOOdv89E8Zck23smQ,Las Vegas,89120,5,2
f2ZWZPENViL92BrFsIgR6w,Las Vegas,89149,4.5,1
YK5eFV8uS1bCmp8GeiQ-Qg,Las Vegas,89121,4,1
PL9xKgFL9FB8wDQ9AKrm4g,Las Vegas,89109,3.5,4
sKhDrZFCJqfRNylkHrIDsQ,Las Vegas,89134,4,2
fn6ySvSF79V3s-f6xnPVRw,Las Vegas,89169,3.5,3
bJP4l_BGq2CudEu0m-wNjg,Las Vegas,89102,2,4
v7ZFEEqJBg_r8NCwHRP_2A,Las Vegas,89102,4.5,2
6fPQJq4f_yiq1NHn0fd11Q,Las Vegas,89109,3.5,2
k-dDZvTeLysoJvjHI-qr9g,Las Vegas,89102,3,1
b9R3msDsU2cC6WKBm68tzQ,Las Vegas,89110,3.5,1
PWjgwphd2prhtqTPWwLbXw,Las Vegas,89109,3.5,2
eY98EH_PHGnJVaJ7t2UpoQ,Las Vegas,89183,4,1
iwGhazq9eP51PSerTrMrwg,Las Vegas,89121,4,1
uZuh51lXu7tsrC8RAwkg1A,Las Vegas,89109,4.5,4
0G83H_zoum-Q4bWU2olTqQ,Las Vegas,89103,4.5,1
IjGU7ZopsgeomsDQf20UXQ,Las Vegas,89119,4,2
b9SMb3ka6MQ5UsCvcLXT6w,Las Vegas,89107,3.5,2
_pBXtjN43eqMV0XZTz7nmw,Las Vegas,89109,3.5,3
XWa7nXOddOYKxojywngk8w,Las Vegas,89128,5,1
OX0GbUgiv1733Eeu7HqW9A,Las Vegas,89107,5,2
ci3xUs8ZffvGhWfoioAL0Q,Las Vegas,89109,3.5,2
LWxSTjV6zybxIZKkSK3SNQ,Las Vegas,89104,3,1
xXtWrRKn8A708BfaNs1nZw,Las Vegas,89102,4,1
DZWLw5AaCcu9SgO_1lBZ-Q,Las Vegas,89109,4,3
w6l6uq95_-36unVjTaFIXw,Las Vegas,89147,4.5,2
PkI1x_NCyEt2sR8MYv4l7w,Las Vegas,89109,3.5,2
UwanDENbM3PYTpkKqJD4WQ,Las Vegas,89149,4,2
wdsGP5rJinx0J5GcGzPQUw,Las Vegas,89109,4,3
SZ5KO1KNiwtrktKo5mpuLA,Las Vegas,89109,3.5,3
LEOvXK3lMEfjnex3CPvrng,Las Vegas,89121,4.5,2
k2b3niokS_tosjah_rzCPw,Las Vegas,89131,3.5,2
upLmGGjPrpO6-HETLFKkew,Las Vegas,89131,4,2
JjjQSlvTvGlIAta5CyA6UQ,Las Vegas,89148,4,2
dusNIzdCaH6EoLl2hRy6cQ,Las Vegas,89109,3.5,1
CTN5Z3fs3jFHfyma8XxzVg,Las Vegas,89134,3.5,1
WOMQ3w0Fpt1UcUwn1dQDiw,Las Vegas,89101,5,1
6EiZAt37__sm2takl8HPXA,Las Vegas,89149,2.5,3
7v-2HkyrfYkPf471v4gCmg,Las Vegas,89123,2,2
h6t-dQ1udLHs0ogBFAAPGw,Las Vegas,89109,4,2
FFhVWAEz3nUy_4JEssvlvQ,Las Vegas,89109,4,4
hgQOESYp7CF4LnNI90XEiw,Las Vegas,89109,3.5,2
BNDP3up8Ltn7oVXEt4YLqw,Las Vegas,89146,3.5,1
F06m2yQSPHIrb1IT7heYeQ,Las Vegas,89139,4,2
mW4QpvxPAEeiUuMRINqZwg,Las Vegas,89120,4.5,2
5NyAYogQEmUqz7ayXfN6NQ,Las Vegas,89119,3,2
gFjHMjQXn5pbObxJupiuPA,Las Vegas,89109,5,4
X3s0BN02lS6EigSnJaSyDw,Las Vegas,89123,3.5,1
BolK3j0LiGtxYxfRhGJFvA,Las Vegas,89148,5,2
q4i-GbjeSp6ucBDXGE9DqA,Las Vegas,89102,4.5,2
X2qnigcKuTWL7x9fS2ZUdw,Las Vegas,89145,4,2
H2Chxto2e6dHTDJ8-s3-pQ,Las Vegas,89169,3,1
XA-0T6x--L9-FVs_o19YBg,Las Vegas,89146,5,2
DZkVWxknDUuWX0-wmtGhQw,Las Vegas,89123,3,1
OqF8enx9gNcgWgdODPYDLg,Las Vegas,89141,4,2
SGPjYRy6x7R5ZlGa_nrskg,Las Vegas,89119,2,2
oOHgRtOX2NIC3-YwoiGJwA,Las Vegas,89128,4.5,1
SQ5we-HZLsFpj8ppMtEBcQ,Las Vegas,89123,3.5,1
V2Sb71qv_um1ntfaMW8yFw,Las Vegas,89146,4,2
hwwSII35ZAmhl3pTDhUTRQ,Las Vegas,89123,2.5,2
yKpdzrqe_qIbu9dB6bj9Gg,Las Vegas,89119,2.5,2
